link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Statlog+%28Shuttle%29,Statlog (Shuttle),Multivariate,Classification,Integer,58000,9,
https://archive.ics.uci.edu/ml/datasets/Statlog+%28Vehicle+Silhouettes%29,Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,
https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29,Connectionist Bench (Nettalk Corpus),Multivariate,Categorical,,20008,4,
https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Sonar%2C+Mines+vs.+Rocks%29,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,
https://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Vowel+Recognition+-+Deterding+Data%29,Connectionist Bench (Vowel Recognition - Deterding Data),Classification,Real,,528,10,
https://archive.ics.uci.edu/ml/datasets/Economic+Sanctions,Economic Sanctions,Domain-Theory,,,,,
https://archive.ics.uci.edu/ml/datasets/Protein+Data,Protein Data,,,,,,
https://archive.ics.uci.edu/ml/datasets/Cloud,Cloud,Multivariate,Real,,1024,10,1989
https://archive.ics.uci.edu/ml/datasets/CalIt2+Building+People+Counts,CalIt2 Building People Counts,"Multivariate, Time-Series","Categorical, Integer",,10080,4,2006
https://archive.ics.uci.edu/ml/datasets/Dodgers+Loop+Sensor,Dodgers Loop Sensor,"Multivariate, Time-Series","Categorical, Integer",,50400,3,2006
https://archive.ics.uci.edu/ml/datasets/Poker+Hand,Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11,2007
https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope,MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11,2007
https://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters,UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364,,2007
https://archive.ics.uci.edu/ml/datasets/Mammographic+Mass,Mammographic Mass,Multivariate,Classification,Integer,961,6,2007
